,Title,Task
326,Fire Inspectors and Investigators,"['Prepare and maintain reports of investigation results, and records of convicted arsonists and arson suspects.', 'Testify in court cases involving fires, suspected arson, and false alarms.', 'Package collected pieces of evidence in securely closed containers, such as bags, crates, or boxes, to protect them.', 'Conduct inspections and acceptance testing of newly installed fire protection systems.', 'Analyze evidence and other information to determine probable cause of fire or explosion.', 'Photograph damage and evidence related to causes of fires or explosions to document investigation findings.', 'Inspect buildings to locate hazardous conditions and fire code violations, such as accumulations of combustible material, electrical wiring problems, and inadequate or non-functional fire exits.', 'Examine fire sites and collect evidence such as glass, metal fragments, charred wood, and accelerant residue for use in determining the cause of a fire.', 'Instruct children about the dangers of fire.', 'Conduct fire code compliance follow-ups to ensure that corrective actions have been taken in cases where violations were found.', 'Inspect properties that store, handle, and use hazardous materials to ensure compliance with laws, codes, and regulations, and issue hazardous materials permits to facilities found in compliance.', 'Write detailed reports of fire inspections performed, fire code violations observed, and corrective recommendations offered.', 'Identify corrective actions necessary to bring properties into compliance with applicable fire codes, laws, regulations, and standards, and explain these measures to property owners or their representatives.', 'Develop or review fire exit plans.', 'Inspect and test fire protection or fire detection systems to verify that such systems are installed in accordance with appropriate laws, codes, ordinances, regulations, and standards.', 'Coordinate efforts with other organizations, such as law enforcement agencies.', 'Attend training classes to maintain current knowledge of fire prevention, safety, and firefighting procedures.', 'Review blueprints and plans for new or remodeled buildings to ensure the structures meet fire safety codes.', 'Teach fire investigation techniques to other firefighter personnel.', 'Conduct fire exit drills to monitor and evaluate evacuation procedures.', 'Teach public education programs on fire safety and prevention.', 'Recommend changes to fire prevention, inspection, and fire code endorsement procedures.', 'Subpoena and interview witnesses, property owners, and building occupants to obtain information and sworn testimony.', 'Conduct internal investigation to determine negligence and violation of laws and regulations by fire department employees.', 'Test sites and materials to establish facts, such as burn patterns and flash points of materials, using test equipment.', 'Dust evidence or portions of fire scenes for latent fingerprints.', 'Arrange for the replacement of defective fire fighting equipment and for repair of fire alarm and sprinkler systems, making minor repairs such as servicing fire extinguishers when feasible.', 'Issue permits for public assemblies.', 'Supervise staff, training them, planning their work, and evaluating their performance.', 'Develop and coordinate fire prevention programs, such as false alarm billing, fire inspection reporting, and hazardous materials management.']"
327,Fire-Prevention and Protection Engineers,"['Advise architects, builders, and other construction personnel on fire prevention equipment and techniques and on fire code and standard interpretation and compliance.', 'Inspect buildings or building designs to determine fire protection system requirements and potential problems in areas such as water supplies, exit locations, and construction materials.', 'Design fire detection equipment, alarm systems, and fire extinguishing devices and systems.', 'Prepare and write reports detailing specific fire prevention and protection issues, such as work performed, revised codes or standards, and proposed review schedules.', 'Consult with authorities to discuss safety regulations and to recommend changes as necessary.', 'Direct the purchase, modification, installation, testing, maintenance, and operation of fire prevention and protection systems.', 'Determine causes of fires and ways in which they could have been prevented.', 'Develop plans for the prevention of destruction by fire, wind, and water.', 'Develop training materials and conduct training sessions on fire protection.', 'Attend workshops, seminars, or conferences to present or obtain information regarding fire prevention and protection.', 'Evaluate fire department performance and the laws and regulations affecting fire prevention or fire safety.', 'Study the relationships between ignition sources and materials to determine how fires start.', 'Conduct research on fire retardants and the fire safety of materials and devices.']"
328,Firefighters,"['Rescue victims from burning buildings, accident sites, and water hazards.', 'Dress with equipment such as fire-resistant clothing and breathing apparatus.', 'Assess fires and situations and report conditions to superiors to receive instructions, using two-way radios.', 'Move toward the source of a fire, using knowledge of types of fires, construction design, building materials, and physical layout of properties.', 'Respond to fire alarms and other calls for assistance, such as automobile and industrial accidents.', 'Create openings in buildings for ventilation or entrance, using axes, chisels, crowbars, electric saws, or core cutters.', 'Drive and operate fire fighting vehicles and equipment.', 'Inspect fire sites after flames have been extinguished to ensure that there is no further danger.', 'Position and climb ladders to gain access to upper levels of buildings, or to rescue individuals from burning structures.', 'Select and attach hose nozzles, depending on fire type, and direct streams of water or chemicals onto fires.', 'Operate pumps connected to high-pressure hoses.', 'Maintain contact with fire dispatchers at all times to notify them of the need for additional firefighters and supplies, or to detail any difficulties encountered.', 'Collaborate with other firefighters as a member of a firefighting crew.', 'Patrol burned areas after fires to locate and eliminate hot spots that may restart fires.', 'Collaborate with police to respond to accidents, disasters, and arson investigation calls.', 'Participate in fire drills and demonstrations of fire fighting techniques.', 'Prepare written reports that detail specifics of fire incidents.', 'Maintain knowledge of current firefighting practices by participating in drills and by attending seminars, conventions, and conferences.', 'Participate in physical training activities to maintain a high level of physical fitness.', 'Protect property from water and smoke, using waterproof salvage covers, smoke ejectors, and deodorants.', 'Inform and educate the public on fire prevention.', 'Salvage property by removing broken glass, pumping out water, and ventilating buildings to remove smoke.', 'Orient self in relation to fire, using compass and map, and collect supplies and equipment dropped by parachute.', 'Clean and maintain fire stations and fire fighting equipment and apparatus.', 'Inspect buildings for fire hazards and compliance with fire prevention ordinances, testing and checking smoke alarms and fire suppression equipment as necessary.', 'Take action to contain any hazardous chemicals that could catch fire, leak, or spill.', 'Extinguish flames and embers to suppress fires, using shovels or engine- or hand-driven water or chemical pumps.', 'Administer first aid and cardiopulmonary resuscitation to injured persons or provide emergency medical care such as basic or advanced life support.', 'Search to locate fire victims.', 'Train new employees to control and suppress fires.']"
329,First-Line Supervisors of Construction Trades and Extraction Workers,"['Inspect work progress, equipment, or construction sites to verify safety or to ensure that specifications are met.', 'Read specifications, such as blueprints, to determine construction requirements or to plan procedures.', 'Supervise, coordinate, or schedule the activities of construction or extractive workers.', 'Assign work to employees, based on material or worker requirements of specific jobs.', 'Coordinate work activities with other construction project activities.', 'Estimate material or worker requirements to complete jobs.', 'Analyze worker or production problems and recommend solutions, such as improving production methods or implementing motivational plans.', 'Order or requisition materials or supplies.', 'Train workers in construction methods, operation of equipment, safety procedures, or company policies.', 'Locate, measure, and mark site locations or placement of structures or equipment, using measuring and marking equipment.', 'Confer with managerial or technical personnel, other departments, or contractors to resolve problems or to coordinate activities.', 'Arrange for repairs of equipment or machinery.', 'Provide assistance to workers engaged in construction or extraction activities, using hand tools or other equipment.', 'Record information, such as personnel, production, or operational data on specified forms or reports.', 'Suggest or initiate personnel actions, such as promotions, transfers, or hires.']"
330,First-Line Supervisors of Correctional Officers,"['Take, receive, or check periodic inmate counts.', 'Maintain order, discipline, and security within assigned areas in accordance with relevant rules, regulations, policies, and laws.', 'Maintain knowledge of, comply with, and enforce all institutional policies, rules, procedures, and regulations.', 'Respond to emergencies, such as escapes.', 'Supervise and direct the work of correctional officers to ensure the safe custody, discipline, and welfare of inmates.', 'Supervise or perform searches of inmates or their quarters to locate contraband items.', 'Monitor behavior of subordinates to ensure alert, courteous, and professional behavior toward inmates, parolees, fellow employees, visitors, and the public.', 'Restrain, secure, or control offenders, using chemical agents, firearms, or other weapons of force as necessary.', 'Carry injured offenders or employees to safety and provide emergency first aid when necessary.', 'Complete administrative paperwork or supervise the preparation or maintenance of records, forms, or reports.', 'Supervise activities, such as searches, shakedowns, riot control, or institutional tours.', 'Conduct roll calls of correctional officers.', 'Instruct employees or provide on-the-job training.', 'Resolve problems between inmates.', 'Set up employee work schedules.', 'Examine incoming or outgoing mail to ensure conformance with regulations.', 'Transfer or transport offenders on foot or by driving vehicles, such as trailers, vans, or buses.', 'Review offender information to identify issues that require special attention.', 'Develop work or security procedures.', ""Convey correctional officers' or inmates' complaints to superiors."", 'Supervise or provide security for offenders performing tasks, such as construction, maintenance, laundry, food service, or other industrial or agricultural operations.', ""Conduct evaluations of employees' performance."", 'Rate behavior of inmates, promoting acceptable attitudes and behaviors to those with low ratings.']"
331,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","['Analyze and record personnel or operational data and write related activity reports.', 'Apply customer feedback to service improvement efforts.', 'Assign work schedules, following work requirements, to ensure quality and timely delivery of service.', 'Collaborate with staff members to plan or develop programs of events or schedules of activities.', 'Direct or coordinate the activities of entertainment and recreation related workers.', 'Furnish customers with information on events or activities.', 'Inform workers about interests or special needs of specific groups.', 'Inspect work areas or operating equipment to ensure conformance to established standards in areas such as cleanliness or maintenance.', 'Meet with managers or other supervisors to stay informed of changes affecting workers or operations.', ""Observe and evaluate workers' appearance and performance to ensure quality service and compliance with specifications."", 'Participate in continuing education to stay abreast of industry trends and developments.', 'Plan, direct, or supervise recreational and entertainment activities led by staff, such as sports, aquatics, games, or performing arts.', 'Provide staff with assistance in performing difficult or complicated duties.', 'Recruit and hire staff members.', 'Requisition supplies and equipment necessary for workers to facilitate recreational or entertainment activities, such as safety harnesses, flash lights, or first aid kits.', 'Resolve customer complaints regarding worker performance or services rendered.', 'Serve as a point of contact between managerial staff and leaders of recreational or entertainment activities.', 'Take disciplinary action to address performance problems.', 'Train workers in proper operational procedures and functions and explain company policies.']"
332,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","['Assign tasks such as feeding and treatment of animals, and cleaning and maintenance of animal quarters.', 'Record the numbers and types of fish or shellfish reared, harvested, released, sold, and shipped.', 'Monitor workers to ensure that safety regulations are followed, warning or disciplining those who violate safety regulations.', 'Observe animals for signs of illness, injury, or unusual behavior, notifying veterinarians or managers as warranted.', 'Observe fish and beds or ponds to detect diseases, monitor fish growth, determine quality of fish, or determine completeness of harvesting.', 'Train workers in tree felling or bucking, operation of tractors or loading machines, yarding or loading techniques, or safety regulations.', 'Treat animal illnesses or injuries, following experience or instructions of veterinarians.', 'Train workers in spawning, rearing, cultivating, and harvesting methods, and in the use of equipment.', 'Train workers in techniques such as planting, harvesting, weeding, or insect identification and in the use of safety measures.', 'Confer with managers to evaluate weather or soil conditions, to develop plans or procedures, or to discuss issues such as changes in fertilizers, herbicides, or cultivating techniques.', 'Communicate with forestry personnel regarding forest harvesting or forest management plans, procedures, or schedules.', 'Inspect crops, fields, or plant stock to determine conditions and need for cultivating, spraying, weeding, or harvesting.', 'Coordinate dismantling, moving, and setting up equipment at new work sites.', 'Coordinate the selection and movement of logs from storage areas, according to transportation schedules or production requirements.', 'Schedule work crews, equipment, or transportation for several different work locations.', 'Drive or operate farm machinery, such as trucks, tractors, or self-propelled harvesters, to transport workers or supplies or to cultivate or harvest fields.', 'Perform both supervisory and management functions, such as accounting, marketing, and personnel work.', 'Transport or arrange for transport of animals, equipment, food, animal feed, and other supplies to and from work sites.', 'Inspect buildings, fences, fields or ranges, supplies, and equipment to determine work to be performed.', 'Read inventory records, customer orders, or shipping schedules to determine required activities.', 'Inspect facilities to determine maintenance needs.', 'Confer with managers to determine production requirements, conditions of equipment and supplies, and work schedules.', 'Prepare and maintain time or payroll reports, as well as details of personnel actions, such as performance evaluations, hires, promotions, or disciplinary actions.', 'Requisition or purchase supplies, such as insecticides, machine parts or lubricants, or tools.', 'Monitor or oversee construction projects, such as horticultural buildings or irrigation systems.', 'Issue equipment, such as farm implements, machinery, ladders, or containers to workers, and collect equipment when work is complete.', 'Calculate or monitor budgets for maintenance or development of collections, grounds, or infrastructure.', 'Direct or assist with the adjustment or repair of equipment or machinery.', 'Monitor operations to identify and solve problems, improve work methods, and ensure compliance with safety, company, and government regulations.', 'Plan work schedules according to personnel and equipment availability.']"
333,First-Line Supervisors of Firefighting and Prevention Workers,"['Assign firefighters to jobs at strategic locations to facilitate rescue of persons and maximize application of extinguishing agents.', 'Provide emergency medical services as required, and perform light to heavy rescue functions at emergencies.', 'Assess nature and extent of fire, condition of building, danger to adjacent buildings, and water supply status to determine crew or company requirements.', 'Communicate fire details to superiors, subordinates, or interagency dispatch centers, using two-way radios.', 'Serve as a working leader of an engine, hand, helicopter, or prescribed fire crew of three or more firefighters.', 'Instruct and drill fire department personnel in assigned duties, including firefighting, medical care, hazardous materials response, fire prevention, and related subjects.', 'Maintain fire suppression equipment in good condition, checking equipment periodically to ensure that it is ready for use.', 'Evaluate the performance of assigned firefighting personnel.', 'Direct the training of firefighters, assigning of instructors to training classes, and providing of supervisors with reports on training progress and status.', 'Perform maintenance and minor repairs on firefighting equipment, including vehicles, and write and submit proposals to modify, replace, and repair equipment.', 'Schedule employee work assignments and set work priorities.', 'Monitor fire suppression expenditures to ensure that they are necessary and reasonable.', 'Participate in creating fire safety guidelines and evacuation schemes for nonresidential buildings.', 'Maintain required maps and records.', 'Drive crew carriers to transport firefighters to fire sites.', 'Inspect stations, uniforms, equipment, or recreation areas to ensure compliance with safety standards, taking corrective action as necessary.', 'Evaluate fire station procedures to ensure efficiency and enforcement of departmental regulations.', 'Direct firefighters in station maintenance duties, and participate in these duties.', 'Recommend personnel actions related to disciplinary procedures, performance, leaves of absence, and grievances.', 'Perform administrative duties, such as compiling and maintaining records, completing forms, preparing reports, or composing correspondence.', 'Direct investigation of cases of suspected arson, hazards, and false alarms and submit reports outlining findings.', 'Recommend equipment modifications or new equipment purchases.', 'Supervise and participate in the inspection of properties to ensure that they are in compliance with applicable fire codes, ordinances, laws, regulations, and standards.', 'Inspect and test new and existing fire protection systems, fire detection systems, and fire safety equipment to ensure that they are operating properly.', 'Study and interpret fire safety codes to establish procedures for issuing permits to handle hazardous or flammable substances.', 'Analyze burn conditions and results, and prepare postburn reports.', 'Evaluate size, location, and condition of fires.', 'Maintain knowledge of fire laws and fire prevention techniques and tactics.', 'Plan, direct, and supervise prescribed burn projects.', 'Recruit or hire firefighting personnel.']"
334,First-Line Supervisors of Food Preparation and Serving Workers,"['Perform various financial activities, such as cash handling, deposit preparation, and payroll.', 'Resolve customer complaints regarding food service.', 'Compile and balance cash receipts at the end of the day or shift.', 'Present bills and accept payments.', 'Inspect supplies, equipment, and work areas to ensure efficient service and conformance to standards.', 'Perform food preparation and serving duties, such as carving meat, preparing flambe dishes, or serving wine and liquor.', 'Train workers in food preparation, and in service, sanitation, and safety procedures.', 'Supervise and participate in kitchen and dining area cleaning activities.', 'Perform personnel actions, such as hiring and firing staff, providing employee orientation and training, and conducting supervisory activities, such as creating work schedules or organizing employee time sheets.', 'Control inventories of food, equipment, smallware, and liquor, and report shortages to designated personnel.', 'Assign duties, responsibilities, and work stations to employees in accordance with work requirements.', 'Specify food portions and courses, production and time sequences, and workstation and equipment arrangements.', 'Record production, operational, and personnel data on specified forms.', 'Observe and evaluate workers and work procedures to ensure quality standards and service, and complete disciplinary write-ups.', 'Estimate ingredients and supplies required to prepare a recipe.', 'Analyze operational problems, such as theft and wastage, and establish procedures to alleviate these problems.', 'Forecast staff, equipment, and supply requirements, based on a master menu.', 'Recommend measures for improving work procedures and worker performance to increase service quality and enhance job safety.', 'Develop equipment maintenance schedules and arrange for repairs.', 'Greet and seat guests, and present menus and wine lists.', 'Purchase or requisition supplies and equipment needed to ensure quality and timely delivery of services.', 'Develop departmental objectives, budgets, policies, procedures, and strategies.', 'Conduct meetings and collaborate with other personnel for menu planning, serving arrangements, and related details.', 'Evaluate new products for usefulness and suitability.', 'Schedule parties and take reservations.', 'Assess nutritional needs of patients, plan special menus, supervise the assembly of regular and special diet trays, and oversee the delivery of food trolleys to hospital patients.']"
335,First-Line Supervisors of Gambling Services Workers,"['Monitor game operations to ensure that house rules are followed, that tribal, state, and federal regulations are adhered to, and that employees provide prompt and courteous service.', ""Observe gamblers' behavior for signs of cheating, such as marking, switching, or counting cards, and notify security staff of suspected cheating."", 'Perform paperwork required for monetary transactions.', ""Respond to and resolve patrons' complaints."", 'Greet customers and ask about the quality of service they are receiving.', 'Perform minor repairs or make adjustments to slot machines, resolving problems such as machine tilts and coin jams.', 'Maintain familiarity with the games at a facility and with strategies or tricks used by cheaters at such games.', 'Monitor payment of hand-delivered jackpots to ensure promptness.', 'Explain and interpret house rules, such as game rules or betting limits, for patrons.', 'Establish and maintain banks and table limits for each game.', 'Reset slot machines after payoffs.', ""Answer patrons' questions about gaming machine functions and payouts."", 'Record the specifics of malfunctioning machines and document malfunctions needing repair.', 'Monitor patrons for signs of compulsive gambling, offering assistance if necessary.', 'Supervise the distribution of complimentary meals, hotel rooms, discounts, or other items given to players, based on length of play and amount bet.', 'Report customer-related incidents occurring in gaming areas to supervisors.', 'Attach ""out of order"" signs to malfunctioning machines, and notify technicians when machines need to be repaired or removed.', 'Enforce safety rules, and report or remove safety hazards as well as guests who are underage, intoxicated, disruptive, or cheating.', 'Exchange currency for customers, converting currency into requested combinations of bills and coins.', ""Evaluate workers' performance and prepare written performance evaluations."", 'Monitor stations and games and move dealers from game to game to ensure adequate staffing.', 'Clean and maintain slot machines and surrounding areas.', 'Monitor functioning of slot machine coin dispensers and fill coin hoppers when necessary.', 'Record, issue receipts for, and pay off bets.', 'Determine how many gaming tables to open each day and schedule staff accordingly.', 'Direct workers compiling summary sheets for each race or event to record amounts wagered and amounts to be paid to winners.', 'Establish policies on types of gambling offered, odds, or extension of credit.', 'Review operational expenses, budget estimates, betting accounts, or collection reports for accuracy.', 'Interview and hire workers.', 'Train, supervise, schedule, and evaluate workers.']"
336,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","['Maintain a safe working environment by monitoring safety procedures and equipment.', 'Review work throughout the work process and at completion to ensure that it has been performed properly.', 'Inform designated employees or departments of items loaded or problems encountered.', 'Examine freight to determine loading sequences.', 'Collaborate with workers and managers to solve work-related problems.', 'Check specifications of materials loaded or unloaded against information contained in work orders.', 'Plan work schedules and assign duties to maintain adequate staff for effective performance of activities and response to fluctuating workloads.', 'Transmit and explain work orders to laborers.', 'Prepare and maintain work records and reports of information such as employee time and wages, daily receipts, or inspection results.', 'Inspect equipment for wear and for conformance to specifications.', 'Estimate material, time, and staffing requirements for a given project, based on work orders, job specifications, and experience.', 'Conduct staff meetings to relay general information or to address specific topics, such as safety.', 'Evaluate employee performance and prepare performance appraisals.', 'Assess training needs of staff and arrange for or provide appropriate instruction.', 'Resolve personnel problems, complaints, or formal grievances when possible, or refer them to higher-level supervisors for resolution.', 'Recommend or initiate personnel actions, such as promotions, transfers, or disciplinary measures.', 'Participate in the hiring process by reviewing credentials, conducting interviews, or making hiring decisions or recommendations.', 'Inspect job sites to determine the extent of maintenance or repairs needed.', 'Perform the same work duties as those supervised, or perform more difficult or skilled tasks or assist in their performance.', 'Inventory supplies and requisition or purchase additional items, as necessary.', 'Counsel employees in work-related activities, personal growth, or career development.', 'Schedule times of shipment and modes of transportation for materials.', 'Quote prices to customers.', ""Provide assistance in balancing books, tracking, monitoring, or projecting a unit's budget needs, and in developing unit policies and procedures.""]"
337,First-Line Supervisors of Housekeeping and Janitorial Workers,"['Supervise in-house services, such as laundries, maintenance and repair, dry cleaning, or valet services.', 'Select the most suitable cleaning materials for different types of linens, furniture, flooring, and surfaces.', 'Advise managers, desk clerks, or admitting personnel of rooms ready for occupancy.', 'Inspect work performed to ensure that it meets specifications and established standards.', 'Perform or assist with cleaning duties as necessary.', 'Plan and prepare employee work schedules.', 'Establish and implement operational standards and procedures for the departments supervised.', 'Inspect and evaluate the physical condition of facilities to determine the type of work required.', 'Inventory stock to ensure that supplies and equipment are available in adequate amounts.', 'Issue supplies and equipment to workers.', 'Forecast necessary levels of staffing and stock at different times to facilitate effective scheduling and ordering.', 'Check and maintain equipment to ensure that it is in working order.', 'Maintain required records of work hours, budgets, payrolls, and other information.', 'Direct activities for stopping the spread of infections in facilities, such as hospitals.', 'Recommend or arrange for additional services, such as painting, repair work, renovations, and the replacement of furnishings and equipment.', 'Coordinate activities with other departments to ensure that services are provided in an efficient and timely manner.', 'Investigate complaints about service and equipment, and take corrective action.', 'Instruct staff in work policies and procedures, and the use and maintenance of equipment.', 'Select and order or purchase new equipment, supplies, or furnishings.', 'Prepare reports on activity, personnel, and information, such as occupancy, hours worked, facility usage, work performed, and departmental expenses.', 'Confer with staff to resolve performance and personnel problems, and to discuss company policies.', 'Evaluate employee performance and recommend personnel actions, such as promotions, transfers, and dismissals.', 'Recommend changes that could improve service and increase operational efficiency.', 'Perform financial tasks, such as estimating costs and preparing and managing budgets.', 'Screen job applicants, and hire new employees.', 'Perform grounds maintenance tasks, such as removing snow and mowing the lawn.']"
338,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","['Establish and enforce operating procedures and work standards that will ensure adequate performance and personnel safety.', 'Schedule work for crews, depending on work priorities, crew or equipment availability, or weather conditions.', 'Tour grounds, such as parks, botanical gardens, cemeteries, or golf courses, to inspect conditions of plants and soil.', 'Monitor project activities to ensure that instructions are followed, deadlines are met, and schedules are maintained.', 'Direct activities of workers who perform duties, such as landscaping, cultivating lawns, or pruning trees and shrubs.', 'Inspect completed work to ensure conformance to specifications, standards, and contract requirements.', 'Plant or maintain vegetation through activities such as mulching, fertilizing, watering, mowing, or pruning.', 'Direct or perform mixing or application of fertilizers, insecticides, herbicides, or fungicides.', 'Train workers in tasks such as transplanting or pruning trees or shrubs, finishing cement, using equipment, or caring for turf.', 'Prepare service estimates based on labor, material, and machine costs and maintain budgets for individual projects.', 'Identify diseases or pests affecting landscaping and order appropriate treatments.', 'Inventory supplies of tools, equipment, or materials to ensure that sufficient supplies are available and items are in usable condition.', 'Maintain required records, such as personnel information or project records.', 'Perform personnel-related activities, such as hiring workers, evaluating staff performance, or taking disciplinary actions when performance problems occur.', 'Provide workers with assistance in performing duties as necessary to meet deadlines.', 'Prepare or maintain required records, such as work activity or personnel reports.', 'Investigate work-related complaints to verify problems and to determine responses.', 'Perform administrative duties, such as authorizing leaves or processing time sheets.', 'Confer with other supervisors to coordinate work activities with those of other departments or units.', 'Direct or assist workers engaged in the maintenance or repair of equipment, such as power tools or motorized equipment.', 'Review contracts or work assignments to determine service, machine, or workforce requirements for jobs.', 'Order the performance of corrective work when problems occur and recommend procedural changes to avoid such problems.', 'Confer with managers or landscape architects to develop plans or schedules for landscaping maintenance or improvement.', 'Recommend changes in working conditions or equipment used to increase crew efficiency.', 'Answer inquiries from current or prospective customers regarding methods, materials, or price ranges.', 'Install or maintain landscaped areas, performing tasks such as removing snow, pouring cement curbs, or repairing sidewalks.', 'Design or supervise the installation of sprinkler systems, calculating water pressure, or valve and pipe coverage needs.', 'Negotiate with customers regarding fees for landscaping, lawn service, or groundskeeping work.']"
339,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,"['Enforce safety rules and regulations.', 'Plan work assignments and equipment allocations to meet transportation, operations or production goals.', 'Review orders, production schedules, blueprints, or shipping or receiving notices to determine work sequences and material shipping dates, types, volumes, or destinations.', 'Inspect or test materials, stock, vehicles, equipment, or facilities to ensure that they are safe, free of defects, and consistent with specifications.', 'Confer with customers, supervisors, contractors, or other personnel to exchange information or to resolve problems.', 'Monitor field work to ensure proper performance and use of materials.', 'Dispatch personnel and vehicles in response to telephone or radio reports of emergencies.', 'Drive vehicles or operate machines or equipment to complete work assignments or to assist workers.', 'Maintain or verify records of time, materials, expenditures, or crew activities.', 'Interpret transportation or tariff regulations, shipping orders, safety regulations, or company policies and procedures for workers.', 'Prepare, compile, and submit reports on work activities, operations, production, or work-related accidents.', 'Resolve worker problems or collaborate with employees to assist in problem resolution.', 'Recommend or implement personnel actions, such as employee selection, evaluation, rewards, or disciplinary actions.', 'Perform or schedule repairs or preventive maintenance of vehicles or other equipment.', 'Explain and demonstrate work tasks to new workers or assign training tasks to experienced workers.', 'Requisition needed personnel, supplies, equipment, parts, or repair services.', 'Recommend and implement measures to improve worker motivation, equipment performance, work methods, or customer services.', 'Examine, measure, or weigh cargo or materials to determine specific handling requirements.', 'Compute or estimate cash, payroll, transportation, personnel, or storage requirements.', 'Assist workers in tasks, such as loading vehicles.', 'Direct workers in transportation or related services, such as pumping, moving, storing, or loading or unloading of materials.', 'Plan and establish schedules.']"
340,"First-Line Supervisors of Mechanics, Installers, and Repairers","['Inspect, test, and measure completed work, using devices such as hand tools or gauges to verify conformance to standards or repair requirements.', 'Inspect and monitor work areas, examine tools and equipment, and provide employee safety training to prevent, detect, and correct unsafe conditions or violations of procedures and safety rules.', 'Interpret specifications, blueprints, or job orders to construct templates and lay out reference points for workers.', ""Monitor employees' work levels and review work performance."", 'Perform skilled repair or maintenance operations, using equipment such as hand or power tools, hydraulic presses or shears, or welding equipment.', 'Compute estimates and actual costs of factors such as materials, labor, or outside contractors.', 'Monitor tool and part inventories and the condition and maintenance of shops to ensure adequate working conditions.', 'Requisition materials and supplies, such as tools, equipment, or replacement parts.', ""Confer with personnel, such as management, engineering, quality control, customer, or union workers' representatives, to coordinate work activities, resolve employee grievances, or identify and review resource needs."", 'Determine schedules, sequences, and assignments for work activities, based on work priority, quantity of equipment, and skill of personnel.', 'Examine objects, systems, or facilities and analyze information to determine needed installations, services, or repairs.', 'Counsel employees about work-related issues and assist employees to correct job-skill deficiencies.', 'Recommend or initiate personnel actions, such as hires, promotions, transfers, discharges, or disciplinary measures.', 'Investigate accidents or injuries and prepare reports of findings.', 'Conduct or arrange for worker training in safety, repair, or maintenance techniques, operational procedures, or equipment use.', 'Develop, implement, or evaluate maintenance policies and procedures.', 'Meet with vendors or suppliers to discuss products used in repair work.', 'Participate in budget preparation and administration, coordinating purchasing and documentation and monitoring departmental expenditures.', 'Review, evaluate, accept, and coordinate completion of work bid from contractors.', 'Compile operational or personnel records, such as time and production records, inventory data, repair or maintenance statistics, or test results.', 'Develop or implement electronic maintenance programs or computer information management systems.', 'Design equipment configurations to meet personnel needs.']"
341,First-Line Supervisors of Non-Retail Sales Workers,"['Monitor sales staff performance to ensure that goals are met.', 'Provide staff with assistance in performing difficult or complicated duties.', 'Direct and supervise employees engaged in sales, inventory-taking, reconciling cash receipts, or performing specific services.', 'Listen to and resolve customer complaints regarding services, products, or personnel.', 'Keep records pertaining to purchases, sales, and requisitions.', 'Hire, train, and evaluate personnel.', 'Confer with company officials to develop methods and procedures to increase sales, expand markets, and promote business.', 'Plan and prepare work schedules, and assign employees to specific duties.', 'Attend company meetings to exchange product information and coordinate work activities with other departments.', 'Visit retailers and sales representatives to promote products and gather information.', 'Formulate pricing policies on merchandise according to profitability requirements.', 'Prepare sales and inventory reports for management and budget departments.', 'Examine products purchased for resale or received for storage to determine product condition.', 'Examine merchandise to ensure correct pricing and display, and that it functions as advertised.', 'Analyze details of sales territories to assess their growth potential and to set quotas.', 'Inventory stock and reorder when inventories drop to specified levels.', 'Coordinate sales promotion activities, such as preparing merchandise displays and advertising copy.', 'Prepare rental or lease agreements, specifying charges and payment procedures for use of machinery, tools, or other items.']"
